Symbol,MyID,Name,IsETF
A,1,Agilent Technologies Inc.,0
AAL,6,American Airlines Group Inc,0
AAP,12,Advance Auto Parts Inc,0
AAPL,14,Apple Inc,0
ABBV,25,Abbvie Inc,0
ABC,26,Amerisource Bergen Corp.,0
ABT,45,Abbott Laboratories,0
ABUS,48,Arbutus Biopharma Corp,0
ACAD,52,Acadia Pharmaceuticals Inc,0
ACIU,65,AC Immune SA,0
ACN,69,Accenture plc - Class A,0
ACWI,85,BlackRock Institutional Trust Company N.A. - iShares MSCI ACWI ETF,0
ADAP,90,Adaptimmune Therapeutics Plc - ADR,0
ADBE,91,Adobe Inc,0
ADI,96,Analog Devices Inc.,0
ADM,99,Archer Daniels Midland Co.,0
ADP,104,Automatic Data Processing Inc.,0
ADSK,111,Autodesk Inc.,0
ADVM,115,Adverum Biotechnologies Inc,0
AEE,123,Ameren Corp.,0
AEP,134,American Electric Power Company Inc.,0
AES,137,AES Corp.,0
AFL,156,Aflac Inc.,0
AFMD,157,Affimed N.V.,0
AGG,180,BlackRock Institutional Trust Company N.A. - iShares Core U.S. Aggregate Bond ETF,0
AGIO,187,Agios Pharmaceuticals Inc,0
AGLE,188,Aeglea BioTherapeutics Inc,0
AIG,238,American International Group Inc,0
AIR,247,AAR Corp.,0
AIZ,257,Assurant Inc,0
AJG,258,Arthur J. Gallagher & Co.,0
AKAM,262,Akamai Technologies Inc,0
AKBA,264,Akebia Therapeutics Inc.,0
ALB,276,Albemarle Corp.,0
ALGN,288,"Align Technology, Inc.",0
ALK,293,Alaska Air Group Inc.,0
ALKS,294,Alkermes plc,0
ALL,295,Allstate Corp (The),0
ALLE,300,Allegion plc,0
ALLK,10577,Allakos Inc,0
ALLO,10900,Allogene Therapeutics Inc,0
ALNY,307,Alnylam Pharmaceuticals Inc,0
ALT,8407,Altimmune Inc,0
AMAT,324,Applied Materials Inc.,0
AMD,332,Advanced Micro Devices Inc.,0
AME,334,Ametek Inc,0
AMGN,338,AMGEN Inc.,0
AMP,356,Ameriprise Financial Inc,0
AMPY,11820,Amplify Energy Corp.,0
AMRS,364,Amyris Inc,0
AMT,369,American Tower Corp.,0
AMZN,379,Amazon.com Inc.,0
ANAB,381,AnaptysBio Inc,0
ANET,391,Arista Networks Inc,0
ANSS,403,Ansys Inc. - Registered Shares,0
AOS,417,A.O. Smith Corp.,0
APA,420,APA Corporation,0
APD,424,Air Products & Chemicals Inc.,0
APH,431,Amphenol Corp. - Class A,0
APLS,9616,Apellis Pharmaceuticals Inc,0
APTV,9729,Aptiv PLC,0
AQB,450,AquaBounty Technologies Inc,0
AR,454,Antero Resources Corp,0
ARDX,469,Ardelyx Inc,0
ARE,470,Alexandria Real Estate Equities Inc.,0
ARGX,8448,Argen X SE - ADR,0
ARKG,483,ARK Investment Management LLC - ARK Genomic Revolution ETF,0
ARKK,484,ARK Investment Management LLC - ARK Innovation ETF,0
ARKQ,485,ARK Investment Management LLC - ARK Autonomous Technology & Robotics ETF,0
ARKW,487,ARK Investment Management LLC - ARK Next Generation Internet ETF,0
ARVN,10829,Arvinas Inc,0
ARWR,509,Arrowhead Pharmaceuticals Inc.,0
ASMB,529,Assembly Biosciences Inc,0
ASML,530,ASML Holding NV - New York Shares,0
ASND,532,Ascendis Pharma A/S - ADR,0
ATNX,8518,Athenex Inc,0
ATO,561,Atmos Energy Corp.,0
ATRA,565,Atara Biotherapeutics Inc,0
ATVI,575,Activision Blizzard Inc,0
AUMN,580,Golden Minerals Co,0
AVAV,588,AeroVironment Inc.,0
AVB,589,Avalonbay Communities Inc.,0
AVGO,593,Broadcom Inc,0
AVRO,10461,AvroBio Inc,0
AVY,606,Avery Dennison Corp.,0
AWK,610,American Water Works Co. Inc.,0
AXP,627,American Express Co.,0
AXSM,632,Axsome Therapeutics Inc,0
AZN,641,Astrazeneca plc - ADR,0
AZO,642,Autozone Inc.,0
BA,649,Boeing Co.,0
BAC,654,Bank Of America Corp.,0
BALL,21026,Ball Corp.,0
BAX,683,Baxter International Inc.,0
BBWI,18959,Bath & Body Works Inc,0
BBY,710,Best Buy Co. Inc.,0
BCRX,728,Biocryst Pharmaceuticals Inc.,0
BDX,748,"Becton, Dickinson And Co.",0
BEN,757,"Franklin Resources, Inc.",0
BF.B,22080,Brown-Forman Corp. - Class B,0
